Rank,Name,Episodes,Tags,Rating
1,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,movie,"tanjiro and his friends accompany the hashira tengen uzui to an entertainment district where tengen’s female ninja agents were gathering information on a demon before they suddenly disappeared. in order to investigate, tanjiro and the others disguise themselves as women to sneak in! koyoharugotouge action adventure fantasy shounen demons historical martial arts orphans siblings swordplay based on a manga explicit violence 2021",4.6
2,Fruits Basket the Final Season,miniseries,"the final arc of fruits basket. natsukitakaya drama fantasy romance shoujo animal transformation contemporary fantasy curse dysfunctional families mental illness orphans based on a manga emotional abuse, mature themes, physical abuse, suicide, violence, domestic abuse 2021",4.6
3,Mo Dao Zu Shi 3,miniseries,the third season of mo dao zu shi. moxiangtongxiu fantasy ancient china chinese animation cultivation xianxia based on a web novel 2021,4.58
4,Fullmetal Alchemist: Brotherhood,longseries,"the foundation of alchemy is based on the law of equivalent exchange; you cannot produce something from nothing. as such, alchemy is bound by one taboo - human transmutation. four years ago two young brothers, edward and alphonse elric, broke this taboo when they tried to resurrect their dead mother. during the process als body disintegrated and ed lost his leg. in a desperate attempt to prevent his brother from disappearing completely, ed sacrificed one of his arms so he could affix als soul to a suit of armor. when his missing limbs are replaced by auto mail parts, ed bears the name of the fullmetal alchemist - the youngest ever state alchemist and dog of the military. now, alongside his brother, ed uses his status within the military to attempt to find any way that he can return their bodies back to their original state. hiromuarakawa action adventure drama fantasy mystery shounen conspiracy death of a loved one military siblings based on a manga animal abuse, mature themes, violence, domestic abuse 2009",4.58
5,Attack on Titan 3rd Season: Part II,miniseries,"the battle to retake wall maria begins now! with eren’s new hardening ability, the scouts are confident they can seal the wall and take back shiganshina district. if they succeed, eren can finally unlock the secrets of the basement—and the world. but danger lies in wait as reiner, bertholdt, and the beast titan have plans of their own. could this be humanity’s final battle for survival? hajimeisayama action fantasy horror shounen dark fantasy isolated society military outside world post-apocalyptic based on a manga cannibalism, explicit violence 2019",4.57
6,Jujutsu Kaisen,courseries,"although yuji itadori looks like your average teenager, his immense physical strength is something to behold! every sports club wants him to join, but itadori would rather hang out with the school outcasts in the occult research club. one day, the club manages to get their hands on a sealed cursed object. little do they know the terror they’ll unleash when they break the seal… gegeakutami action horror shounen curse exorcists monsters school life supernatural based on a manga explicit violence 2020",4.56
7,Attack on Titan The Final Season: Part II,movie,continuation of\xa0attack on titan the final season. hajimeisayama action drama fantasy horror shounen dark fantasy military war based on a manga 2022,4.56
8,Attack on Titan The Final Season,courseries,"its been four years since the scout regiment reached the shoreline, and the world looks different now. things are heating up as the fate of the scout regiment—and the people of paradis—are determined at last. however, eren is missing. will he reappear before age-old tensions between marleyans and eldians result in the war of all wars? hajimeisayama action drama fantasy horror shounen dark fantasy military war based on a manga explicit violence, mature themes, physical abuse, suicide 2020",4.55
9,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train,movie,"tanjirou\xa0and the group have completed their rehabilitation training at the butterfly mansion, and they arrive to their next mission on the mugen train, where over 40 people have disappeared in a very short period of time. tanjirou and\xa0nezuko, along with\xa0zenitsu\xa0and\xa0inosuke, join one of the most powerful swordsmen within the demon slayer corps,\xa0flame hashira rengoku kyoujurou, to face the demon aboard the mugen train on track to despair. koyoharugotouge action drama fantasy shounen demons historical martial arts orphans siblings swordplay trains based on a manga mature themes, suicide, violence 2020",4.54
10,Haikyuu!! Karasuno High School vs Shiratorizawa Academy,miniseries,"picking up where the second season ended, the boys prepare to finally face off for the right to represent the prefecture in the volleyball national championship. despite being known as “the fallen champions,” karasuno is determined to take down the powerhouse that is the shiratorizawa high volleyball team. as hinata comes closer to fulfilling his promise to defeat ushijima’s team, will the “flightless crows” finally find their wings and soar above the best school in the prefecture? haruichifurudate shounen sports animeism school club school life tournaments volleyball based on a manga 2016",4.53
11,your name.,movie,"mitsuha and taki are two total strangers living completely different lives. but when\xa0mitsuha makes a wish to leave her mountain town and for the bustling city of tokyo,\xa0they become connected in a bizarre way. she dreams she is a boy living in tokyo while\xa0taki dreams he is a girl from a rural town he’s never been to.\xa0what does their newfound\xa0connection mean? and how will it bring them together? makotoshinkai drama romance body swapping gender bender opposites attract school life supernatural original work 2016",4.51
12,Haikyuu!! Second Season,longseries,"after losing to aoba johsai at the inter-high, the karasuno high volleyball team is working their hardest toward the spring tournament. in the meantime, its decided that theyll be\xa0heading to tokyo for a training camp with nekoma high and a handful of other powerful schools.\xa0they team is practicing hard, and not day during their run, hinata and kageyama get too excited and end up lost, and end up meeting someone rather unexpected... haruichifurudate shounen sports school club school life tournaments volleyball based on a manga 2015",4.51
13,Demon Slayer: Kimetsu no Yaiba,longseries,"bloodthirsty demons lurk in the woods, and nobody dares to venture out at night, save for the demon slayer of legend. surviving in this harsh world, young tanjirou takes it upon himself to protect his family–until the day that everything is taken from him in a vicious slaughter. now, all he has left is his sister, and she’s not even human anymore. koyoharugotouge action adventure comedy drama fantasy shounen death of a loved one demons historical martial arts orphans siblings swordplay based on a manga violence 2019",4.51
14,Hunter x Hunter (2011),longseries,"drawn to the mystique of the unknown, hunters travel the world in search of terrifying creatures, incredible riches, and unexplored lands. gon freecss is a naive-yet-determined young boy who aspires to join the ranks of these individuals, in order to find his missing father ging - a master of the profession himself. to reach his goal, he partakes in the formidable hunter exam, a series of tests that push the participants to their physical and mental limits, with a hunter license as the prize. during the exam gon befriends vengeful kurapika, doctor-to-be leorio, and skilled assassin killua, who have entered for their own reasons. but with the sinister hisoka standing in their way, will gon and his friends be able to succeed in obtaining their reward, or even escaping with their lives? yoshihirotogashi action adventure drama fantasy shounen monsters superpowers based on a manga violence 2011",4.51
15,A Silent Voice,movie,"after transferring into a new school, a deaf girl, shouko nishimiya, is bullied by the popular shouya ishida. as shouya continues to bully shouko, the class turns its back on him. shouko transfers and shouya\xa0grows up as an outcast. alone and depressed, the regretful shouya finds shouko to make amends. yoshitokiooima drama shounen disability melancholy mental illness school life based on a manga bullying, mature themes, suicide 2016",4.51
