,title,description,rating,year,tags,cover
0,Salad Days (Tang LiuZang) - Part 2,The second season of Salad Days (Tang LiuZang).,4.7,2021.0,"['BL', 'Manhua', 'Romance', 'Shounen-ai', 'Sports', 'Webtoons', 'Full Color']",https://cdn.anime-planet.com/manga/primary/salad-days-tang-liuzang-part-2-1-285x399.jpg?t=1638084843
1,The Master of Diabolism,"As the grandmaster who founded the Demonic Sect, Wei WuXian roamed the world in his wanton ways, hated by millions for the chaos he created. In the end, he was back-stabbed by his dearest shidi and killed by powerful clans that combined to overpower him. He incarnates into the body of a lunatic who was abandoned by his clan and is later, unwillingly, taken away by a famous cultivator among the clans—Lan WangJi, his archenemy.",4.7,2017.0,"['Action', 'Adventure', 'BL', 'Comedy', 'Manhua', 'Mystery', 'Romance', 'Shounen-ai', 'Ancient China', 'Cultivation', 'Martial Arts', 'Supernatural', 'Xianxia', 'Mature Themes', 'Suicide', 'Violence', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/the-master-of-diabolism-1-190x252.jpg?t=1625917239
2,JoJo's Bizarre Adventure Part 7: Steel Ball Run,"Set in 1890, Steel Ball Run spotlights Gyro Zepelli and Johnny Joestar as they pit their spirits on a Fifty Million Dollar race across the heart of America. Their track quickly becomes a no-rules land as the racers' dreams collide and only human will spurs them on. But there is more to this race than any contestant realized and each of them soon grasps the real size of their world.",4.7,2004.0,"['Action', 'Adventure', 'Horror', 'Mystery', 'Seinen', '19th Century', 'America', 'Historical']",https://cdn.anime-planet.com/manga/primary/jojos-bizarre-adventure-part-7-steel-ball-run-1-185x300.jpg?t=1625909521
3,A Sign of Affection,"Yuki is a typical college student, whose world revolves around her friends, social media, and the latest sales. But when a chance encounter on a train leads to her meeting friend-of-a-friend and fellow student Itsuomi-san, her world starts to widen. But even though Itsuomi-kun can speak three languages, sign language isn’t one of them. Can the two learn to communicate the budding feelings between them?",4.7,2019.0,"['Romance', 'Shoujo', 'Slice of Life', 'Disability']",https://cdn.anime-planet.com/manga/primary/a-sign-of-affection-1-190x285.jpg?t=1625922916
4,Moriarty the Patriot,"Before he was Sherlock’s rival, Moriarty fought against the unfair class caste system in London by making sure corrupt nobility got their comeuppance. But even the best-intentioned plans can spin out of control—will Moriarty’s dream of a more just and equal world turn him into a hero…or a monster?",4.7,2016.0,"['Mystery', 'Shounen', 'Detectives', 'England', 'Europe', 'Historical', 'Sherlock Holmes', 'Adapted to Anime', 'Based on a Novel']",https://cdn.anime-planet.com/manga/primary/moriarty-the-patriot-1-190x285.jpg?t=1625916116
5,Classroom of the Elite (Light Novel),"At the prestigious Tokyo Metropolitan Advanced Nurturing High School, which aims to produce the country’s future leaders, students are given remarkable freedom. However, they also have to deal with a point system that decides one’s place in the school’s hierarchy! Ayanokoji Kiyotaka has landed at the bottom in the scorned Class D, where he meets Horikita Suzune, who’s determined to work her way back up to Class A, and Kushida Kikyo, who seems like she only wants to make friends. Can they advance through this school where cutthroat competition is the name of the game?",4.7,2015.0,"['Comedy', 'Drama', 'Ecchi', 'Harem', 'Light Novels', 'Romance', 'Boarding School', 'School Life', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/classroom-of-the-elite-light-novel-1-285x403.jpg?t=1630446924
6,Who Made Me a Princess,"The beautiful Athanasia was killed at the hands of her own biological father, Claude de Alger Obelia, the cold-blooded emperor! It’s just a silly bedtime story… until one woman wakes up to suddenly find she’s become that unfortunate princess! She needs a plan to survive her doomed fate, and time is running out. Will she go with Plan A, live as quietly as possible without being noticed by the infamous emperor? Plan B, collect enough money to escape the palace? Or will she be stuck with plan C, sweet-talking her way into her father’s good graces?!",4.7,2017.0,"['Fantasy', 'Manhwa', 'Romance', 'Slice of Life', 'Webtoons', 'Full Color', 'Isekai', 'Magic', 'Person in a Strange World', 'Political', 'Reincarnation', 'Royalty', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/who-made-me-a-princess-1-190x266.jpg?t=1625919708
7,Demon Slayer: Kimetsu no Yaiba,"The setting is Taisho era Japan. Tanjirou is a kindhearted young boy who lived peacefully with his family as a coal seller. Their normal life changes completely when his family is slaughtered by demons. The only other survivor, Tanjirou's younger sister Nezuko, has become a ferocious demon. In order to return Nezuko to normal and get revenge on the demon that killed their family, the two of them depart on a journey. From a young talent, an adventure tale of blood and swords begins!",4.7,2016.0,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen', 'Death of a Loved One', 'Demons', 'Historical', 'Martial Arts', 'Orphans', 'Siblings', 'Explicit Violence', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/demon-slayer-kimetsu-no-yaiba-1-285x428.jpg?t=1634713702
8,Omniscient Reader (Novel),"One day, our MC finds himself stuck in the world of his favorite web novel. What should he do to survive? It's a world struck by catastrophe and danger all around. His edge? He knows the plot of the story to end, because he was the sole reader that stuck with it. ",4.7,2018.0,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Manhwa', 'Web Novels', 'Cheats', 'High Stakes Games', 'Martial Arts', 'Play or Die', 'Psychological', 'Urban Fantasy']",https://cdn.anime-planet.com/manga/primary/omniscient-reader-novel-1-190x266.jpg?t=1625919886
9,Omniscient Reader,"Back then, Dokja had no idea. He had no idea his favorite web novel 'Three Ways to Survive the Apocalypse' was going to come to life, and that he would become the only person to know how the world was going to end. He also had no idea he would end up becoming the protagonist of this novel-turned-reality. Now, Dokja will go on a journey to change the course of the story and save humankind once and for all.",4.7,2020.0,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Manhwa', 'Webtoons', 'Cheats', 'Full Color', 'High Stakes Games', 'Play or Die', 'Psychological', 'PVE', 'PVP', 'RPG', 'Survival', 'Urban Fantasy', 'Explicit Violence', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/omniscient-reader-1-285x409.jpg?t=1628025756
10,Tower of God - Part 3,The third season of Tower of God.,4.7,2019.0,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Manhwa', 'Webtoons', 'Full Color', 'Violence']",https://cdn.anime-planet.com/manga/primary/tower-of-god-part-3-1-190x266.jpg?t=1625921019
11,Yotsuba&!,"Meet Yotsuba Koiwai, the strangest little girl around. With a mind so straight it's twisted, Yotsuba takes everything in life at face value and sees everything with the eyes of impenetrable innocence. With her laid-back father, Yotsuba moves into a new house and makes new friends - friends whose minds boggle at the wacky and somewhat wise way that Yotsuba lives her daily life!",4.7,2003.0,"['Comedy', 'Shounen', 'Slice of Life', 'Iyashikei', 'Single Parent']",https://cdn.anime-planet.com/manga/primary/yotsuba-1-190x284.jpg?t=1625907491
12,Bastard,"Jin has lived a tough life. One of his oldest memories is waking up in the hospital, having received an artificial heart valve, and a glass eye. And as a student, he's relentlessly bullied for his disabilities. But Jin's school life is nothing compared to his home life, where he's raised by his father, a serial killer who targets young women and forces the boy to act as his accomplice. Can Jin do anything to stop his father's reign of terror without becoming the next victim?",4.7,2014.0,"['Drama', 'Horror', 'Manhwa', 'Romance', 'Webtoons', 'Criminals', 'Disability', 'Dysfunctional Families', 'Full Color', 'Mind Games', 'Psychological', 'Psychopaths', 'Serial Killers', 'Thriller', 'Bullying', 'Emotional Abuse', 'Explicit Violence', 'Mature Themes', 'Physical Abuse', 'Domestic Abuse']",https://cdn.anime-planet.com/manga/primary/bastard-1-190x289.jpg?t=1625913904
13,Tower of God - Part 2,The second season of Tower of God.,4.7,2012.0,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Manhwa', 'Webtoons', 'Full Color', 'High Stakes Games', 'Violence']",https://cdn.anime-planet.com/manga/primary/tower-of-god-part-2-1-190x272.jpg?t=1625910760
14,I’m Really Not the Devil’s Lackey,"Lin Jie, who has transmigrated into this world, runs a bookshop. Nice and passionate, he always recommends books that are capable of healing one's soul to customers who find themselves in a rough patch in life. Occasionally, he would recommend his own work to them as well. Over time, these customers have grown to respect him a lot. They bring him some simple souvenirs every day to repay him and ask him for recommendations of literary works. At the same time, they tell the people around them about this bookstore owner as well. They have respectful and affectionate ways of addressing him-""The Devil's Hyena"", ""The Communicator of Flesh Gospel of Books"", ""The Author of the Corpse Ritual"" and "" The Star Shepard"".",4.7,2021.0,"['Fantasy', 'Manhua', 'Webtoons', 'Bookstore', 'Full Color', 'Isekai', 'Person in a Strange World', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/im-really-not-the-devils-lackey-1-285x399.webp?t=1646215508
15,"Umarekawatte mo mata, Watashi to Kekkon shite kuremasu ka?","Toranosuke fell in love with his servant Kaoru. For twenty years, they slowly developed their love for each other, thus a Showa couple of clumsy husband and muscle brained wife was born. They spend a lot of time together, and they begin to talk in a nostalgic manner in Toranosuke's hospital room. Gentle memories of a deeply in love husband and wife.",4.7,2017.0,"['Comedy', 'Drama', 'Romance', 'Historical', 'Mature Romance']",https://cdn.anime-planet.com/manga/primary/umarekawatte-mo-mata-watashi-to-kekkon-shite-kuremasu-ka-1-190x272.jpg?t=1625922274
16,Banana Fish,"Nature made Ash Lynx beautiful; nurture made him a cold ruthless killer. A runaway brought up as the adopted heir and sex toy of ""Papa"" Dino Golzine, Ash, now at the rebellious age of seventeen, forsakes the kingdom held out by the devil who raised him. But the hideous secret that drove Ash's older brother mad in Vietnam has suddenly fallen into Papa's insatiably ambitious hands--and it's exactly the wrong time for Eiji Okamura, a pure-hearted young photographer from Japan, to make Ash Lynx's acquaintance...",4.7,1985.0,"['Action', 'Adventure', 'Drama', 'Mystery', 'Shoujo', 'America', 'Delinquents', 'Guns', 'Hand to Hand Combat', 'Psychological', 'Drug Use', 'Emotional Abuse', 'Mature Themes', 'Nudity', 'Physical Abuse', 'Sexual Abuse', 'Sexual Content', 'Adapted to Anime']",https://cdn.anime-planet.com/manga/primary/banana-fish-1-285x429.jpg?t=1629834461
17,Teenage Mercenary,"At the age of eight, Ijin Yu lost his parents in a plane crash and became stranded in a foreign land, forced to become a child mercenary in order to stay alive. He returns home ten years later to be reunited with his family in Korea, where food and shelter are plenty and everything seems peaceful. But Ijin will soon learn that life as a teenager is a whole other feat of survival. With only one year of high school left, Ijin must master new tactics to maneuver his way around the schoolhouse battleground. Can he survive a year of high school? Or rather, will the school be able to survive him?",4.7,2020.0,"['Action', 'Drama', 'Manhwa', 'Webtoons', 'Full Color', 'Lifestyle Change', 'School Life']",https://cdn.anime-planet.com/manga/primary/teenage-mercenary-1-190x266.jpg?t=1625929294
18,I Want to Eat Your Pancreas (Novel),"In this deeply moving first-person story, a high school boy finds the diary of his classmate—and discovers that she’s dying. Yamauchi Sakura has been silently suffering from a pancreatic disease in school, and now exactly one person outside her family knows. He swears to her that he won’t tell anyone what he learned, and the shared secret brings them closer together. The two have very little in common, but they find themselves drawn to each other in Sakura’s final months to live.",4.7,2015.0,"['Drama', 'Romance', 'Coming of Age', 'Illness', 'Novels', 'Opposites Attract', 'School Life', 'Adapted to Anime', 'Based on a Web Novel']",https://cdn.anime-planet.com/manga/primary/i-want-to-eat-your-pancreas-novel-1-190x267.jpg?t=1625916704
19,Our Dreams at Dusk: Shimanami Tasogare,"Not only is high schooler Tasuku Kaname the new kid in town, he's also terrified that he's been outed as gay. Just as he's contemplating doing the unthinkable, Tasuku meets a mysterious woman who leads him to a group of people dealing with problems not so different from his own. In this realistic, heartfelt depiction of LGBT+ characters from different backgrounds finding their place in the world, a search for inner peace proves to be the most universal experience of all.",4.7,2015.0,"['Drama', 'Seinen', 'LGBT Themes', 'Psychological', 'School Life', 'Bullying']",https://cdn.anime-planet.com/manga/primary/our-dreams-at-dusk-shimanami-tasogare-1-190x271.jpg?t=1625914553
20,Spirit Fingers!,"What do you do if you're going on 18, totally awkward and lacking in self- confidence? You could just sit in your room all day and all night and study and wonder why you never get asked out…OR, if you’re Amy Song you could join up with the Spirit Fingers – the strangest, hippest, coolest (yet most welcoming) art club ever. But as Amy is about to learn, discovering your TRUE colors is about more than just painting.",4.7,2015.0,"['Comedy', 'Manhwa', 'Romance', 'Webtoons', 'Full Color', 'School Club']",https://cdn.anime-planet.com/manga/primary/spirit-fingers-1-190x266.jpg?t=1625914644
21,Your Letter,"Sori is a special young girl - kind, caring and principled well beyond her years. Unfortunately, these are NOT the personality traits generally celebrated in middle school – especially Sori’s, where she’s bullied mercilessly for defending the defenseless until she herself becomes a target. To escape, she transfers to a new school where the same old problems begin to play out all over again – that is until a mysterious trail of letters leads Sori on a magical scavenger hunt through the hidden world that exists right below the surface of her new middle school. The mail trail is the work an anonymous guardian angel, whose mission seems to be to provide a soft landing for Sori at her new school. But who is this person? And why did he choose her? With each letter, secrets are revealed and bonds are formed - as Sori learns about friendship, flora, fauna and finding the good in people in this strange new environment.",4.7,2018.0,"['Adventure', 'Drama', 'Manhwa', 'Mystery', 'Webtoons', 'Full Color', 'School Life', 'Bullying']",https://cdn.anime-planet.com/manga/primary/your-letter-1-190x270.jpg?t=1625920730
